Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
330,44.85176282051282,0.0,Echo 0,1,Clique B
360,45.04206730769231,0.0,Echo 0,1,Clique B
390,45.17227564102564,0.0,Echo 0,1,Clique B
420,45.22235576923077,0.0,Echo 0,1,Clique B
450,45.3125,0.0,Echo 0,1,Clique B
480,45.422676282051285,0.0,Echo 0,1,Clique B
510,45.51282051282051,0.0,Echo 0,1,Clique B
540,45.61298076923077,0.0,Echo 0,1,Clique B
570,45.6630608974359,0.0,Echo 0,1,Clique B
600,45.703125,0.0,Echo 0,1,Clique B
630,45.72315705128205,0.0,Echo 0,1,Clique B
660,45.73317307692308,0.0,Echo 0,1,Clique B
690,45.77323717948718,0.0,Echo 0,1,Clique B
720,45.783253205128204,0.0,Echo 0,1,Clique B
750,45.813301282051285,0.0,Echo 0,1,Clique B
780,45.813301282051285,0.0,Echo 0,1,Clique B
810,45.82331730769231,0.0,Echo 0,1,Clique B
840,45.84334935897436,0.0,Echo 0,1,Clique B
870,45.88341346153846,0.0,Echo 0,1,Clique B
900,45.89342948717949,0.0,Echo 0,1,Clique B
930,45.91346153846154,0.0,Echo 0,1,Clique B
960,45.93349358974359,0.0,Echo 0,1,Clique B
990,45.97355769230769,0.0,Echo 0,1,Clique B
1020,45.993589743589745,0.0,Echo 0,1,Clique B
1050,46.00360576923077,0.0,Echo 0,1,Clique B
1080,46.00360576923077,0.0,Echo 0,1,Clique B
1110,46.02363782051282,0.0,Echo 0,1,Clique B
1140,46.02363782051282,0.0,Echo 0,1,Clique B
1170,46.02363782051282,0.0,Echo 0,1,Clique B
1200,46.02363782051282,0.0,Echo 0,1,Clique B
1230,46.02363782051282,0.0,Echo 0,1,Clique B
1260,46.013621794871796,0.0,Echo 0,1,Clique B
1290,46.013621794871796,0.0,Echo 0,1,Clique B
1320,46.013621794871796,0.0,Echo 0,1,Clique B
1350,46.02363782051282,0.0,Echo 0,1,Clique B
1380,46.03365384615385,0.0,Echo 0,1,Clique B
1410,46.03365384615385,0.0,Echo 0,1,Clique B
1440,46.04366987179487,0.0,Echo 0,1,Clique B
1470,46.04366987179487,0.0,Echo 0,1,Clique B
0,33.41346153846154,0.0625,Echo 0,1,All
30,66.0556891025641,0.0625,Echo 0,1,All
0,38.62179487179487,0.0625,Echo 0,1,Clique A
0,33.693910256410255,0.0625,Echo 0,1,Clique B
0,34.40504807692308,0.1875,Echo 0,1,All
30,66.82692307692308,0.1875,Echo 0,1,All
60,74.03846153846153,0.1875,Echo 0,1,All
90,76.47235576923077,0.1875,Echo 0,1,All
120,78.17508012820512,0.1875,Echo 0,1,All
150,80.1181891025641,0.1875,Echo 0,1,All
180,82.03125,0.1875,Echo 0,1,All
210,83.984375,0.1875,Echo 0,1,All
240,85.4667467948718,0.1875,Echo 0,1,All
270,86.30809294871794,0.1875,Echo 0,1,All
300,86.86899038461539,0.1875,Echo 0,1,All
330,87.23958333333333,0.1875,Echo 0,1,All
360,87.5400641025641,0.1875,Echo 0,1,All
390,87.8505608974359,0.1875,Echo 0,1,All
420,87.67027243589743,0.1875,Echo 0,1,All
450,87.74038461538461,0.1875,Echo 0,1,All
480,87.87059294871794,0.1875,Echo 0,1,All
510,87.39983974358974,0.1875,Echo 0,1,All
540,88.05088141025641,0.1875,Echo 0,1,All
570,86.6386217948718,0.1875,Echo 0,1,All
600,87.9306891025641,0.1875,Echo 0,1,All
630,87.70032051282051,0.1875,Echo 0,1,All
660,87.13942307692308,0.1875,Echo 0,1,All
690,88.60176282051282,0.1875,Echo 0,1,All
720,85.68709935897436,0.1875,Echo 0,1,All
750,86.58854166666667,0.1875,Echo 0,1,All
780,85.49679487179488,0.1875,Echo 0,1,All
810,88.03084935897436,0.1875,Echo 0,1,All
840,87.64022435897436,0.1875,Echo 0,1,All
870,89.55328525641026,0.1875,Echo 0,1,All
900,88.62179487179488,0.1875,Echo 0,1,All
930,90.26442307692308,0.1875,Echo 0,1,All
960,90.25440705128206,0.1875,Echo 0,1,All
990,89.3729967948718,0.1875,Echo 0,1,All
1020,84.61538461538461,0.1875,Echo 0,1,All
1050,88.34134615384616,0.1875,Echo 0,1,All
1080,89.83373397435898,0.1875,Echo 0,1,All
1110,88.12099358974359,0.1875,Echo 0,1,All
1140,89.89383012820512,0.1875,Echo 0,1,All
1170,89.0625,0.1875,Echo 0,1,All
1200,89.75360576923077,0.1875,Echo 0,1,All
1230,89.4130608974359,0.1875,Echo 0,1,All
1260,90.24439102564102,0.1875,Echo 0,1,All
1290,90.25440705128206,0.1875,Echo 0,1,All
