Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
1260,57.61217948717949,0.125,StateOverride,1,All
1290,57.552083333333336,0.125,StateOverride,1,All
1320,57.51201923076923,0.125,StateOverride,1,All
1350,57.48197115384615,0.125,StateOverride,1,All
1380,57.47195512820513,0.125,StateOverride,1,All
1410,57.36177884615385,0.125,StateOverride,1,All
1440,57.321714743589745,0.125,StateOverride,1,All
1470,57.22155448717949,0.125,StateOverride,1,All
0,38.53165064102564,0.125,StateOverride,1,Clique A
30,39.21274038461539,0.125,StateOverride,1,Clique A
60,39.83373397435897,0.125,StateOverride,1,Clique A
90,42.82852564102564,0.125,StateOverride,1,Clique A
120,45.833333333333336,0.125,StateOverride,1,Clique A
150,47.79647435897436,0.125,StateOverride,1,Clique A
180,48.98838141025641,0.125,StateOverride,1,Clique A
210,49.869791666666664,0.125,StateOverride,1,Clique A
240,50.48076923076923,0.125,StateOverride,1,Clique A
270,50.77123397435897,0.125,StateOverride,1,Clique A
300,50.93149038461539,0.125,StateOverride,1,Clique A
330,50.98157051282051,0.125,StateOverride,1,Clique A
360,50.85136217948718,0.125,StateOverride,1,Clique A
390,50.44070512820513,0.125,StateOverride,1,Clique A
420,49.90985576923077,0.125,StateOverride,1,Clique A
450,49.44911858974359,0.125,StateOverride,1,Clique A
480,48.79807692307692,0.125,StateOverride,1,Clique A
510,48.07692307692308,0.125,StateOverride,1,Clique A
540,47.365785256410255,0.125,StateOverride,1,Clique A
570,46.764823717948715,0.125,StateOverride,1,Clique A
600,46.23397435897436,0.125,StateOverride,1,Clique A
630,45.77323717948718,0.125,StateOverride,1,Clique A
660,45.40264423076923,0.125,StateOverride,1,Clique A
690,44.97195512820513,0.125,StateOverride,1,Clique A
720,44.44110576923077,0.125,StateOverride,1,Clique A
750,43.92027243589744,0.125,StateOverride,1,Clique A
780,43.359375,0.125,StateOverride,1,Clique A
810,42.658253205128204,0.125,StateOverride,1,Clique A
840,42.12740384615385,0.125,StateOverride,1,Clique A
870,41.54647435897436,0.125,StateOverride,1,Clique A
900,41.13581730769231,0.125,StateOverride,1,Clique A
930,40.77524038461539,0.125,StateOverride,1,Clique A
960,40.40464743589744,0.125,StateOverride,1,Clique A
990,40.29447115384615,0.125,StateOverride,1,Clique A
1020,40.18429487179487,0.125,StateOverride,1,Clique A
1050,40.07411858974359,0.125,StateOverride,1,Clique A
1080,40.02403846153846,0.125,StateOverride,1,Clique A
1110,39.99399038461539,0.125,StateOverride,1,Clique A
1140,39.98397435897436,0.125,StateOverride,1,Clique A
1170,39.973958333333336,0.125,StateOverride,1,Clique A
1200,39.96394230769231,0.125,StateOverride,1,Clique A
1230,39.93389423076923,0.125,StateOverride,1,Clique A
1260,39.93389423076923,0.125,StateOverride,1,Clique A
1290,39.93389423076923,0.125,StateOverride,1,Clique A
1320,39.93389423076923,0.125,StateOverride,1,Clique A
1350,39.93389423076923,0.125,StateOverride,1,Clique A
1380,39.91386217948718,0.125,StateOverride,1,Clique A
1410,39.89383012820513,0.125,StateOverride,1,Clique A
1440,39.89383012820513,0.125,StateOverride,1,Clique A
1470,39.87379807692308,0.125,StateOverride,1,Clique A
0,33.95432692307692,0.125,StateOverride,1,Clique B
30,35.47676282051282,0.125,StateOverride,1,Clique B
60,38.94230769230769,0.125,StateOverride,1,Clique B
90,41.15584935897436,0.125,StateOverride,1,Clique B
120,42.54807692307692,0.125,StateOverride,1,Clique B
150,44.17067307692308,0.125,StateOverride,1,Clique B
180,45.54286858974359,0.125,StateOverride,1,Clique B
210,46.33413461538461,0.125,StateOverride,1,Clique B
240,46.63461538461539,0.125,StateOverride,1,Clique B
270,46.774839743589745,0.125,StateOverride,1,Clique B
300,46.8349358974359,0.125,StateOverride,1,Clique B
330,46.744791666666664,0.125,StateOverride,1,Clique B
360,46.54447115384615,0.125,StateOverride,1,Clique B
