Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
660,9.805689102564102,GM,SandTrap,global,False
690,9.805689102564102,GM,SandTrap,global,False
720,9.805689102564102,GM,SandTrap,global,False
750,9.805689102564102,GM,SandTrap,global,False
780,9.805689102564102,GM,SandTrap,global,False
810,9.805689102564102,GM,SandTrap,global,False
840,9.805689102564102,GM,SandTrap,global,False
870,9.805689102564102,GM,SandTrap,global,False
0,9.805689102564102,GM,SandTrap,global,True
30,9.805689102564102,GM,SandTrap,global,True
60,9.805689102564102,GM,SandTrap,global,True
90,9.805689102564102,GM,SandTrap,global,True
120,9.805689102564102,GM,SandTrap,global,True
150,9.805689102564102,GM,SandTrap,global,True
180,9.805689102564102,GM,SandTrap,global,True
210,9.805689102564102,GM,SandTrap,global,True
240,9.805689102564102,GM,SandTrap,global,True
270,9.805689102564102,GM,SandTrap,global,True
300,9.805689102564102,GM,SandTrap,global,True
330,9.805689102564102,GM,SandTrap,global,True
360,9.805689102564102,GM,SandTrap,global,True
390,9.805689102564102,GM,SandTrap,global,True
420,9.805689102564102,GM,SandTrap,global,True
450,9.805689102564102,GM,SandTrap,global,True
480,9.805689102564102,GM,SandTrap,global,True
510,9.805689102564102,GM,SandTrap,global,True
540,9.805689102564102,GM,SandTrap,global,True
570,9.805689102564102,GM,SandTrap,global,True
600,9.805689102564102,GM,SandTrap,global,True
630,9.805689102564102,GM,SandTrap,global,True
660,9.805689102564102,GM,SandTrap,global,True
690,9.805689102564102,GM,SandTrap,global,True
720,9.805689102564102,GM,SandTrap,global,True
750,9.805689102564102,GM,SandTrap,global,True
780,9.805689102564102,GM,SandTrap,global,True
810,9.805689102564102,GM,SandTrap,global,True
840,9.805689102564102,GM,SandTrap,global,True
870,9.805689102564102,GM,SandTrap,global,True
0,9.805689102564102,GM,Echo,global,False
30,9.805689102564102,GM,Echo,global,False
60,9.805689102564102,GM,Echo,global,False
90,9.805689102564102,GM,Echo,global,False
120,9.805689102564102,GM,Echo,global,False
150,9.805689102564102,GM,Echo,global,False
180,9.805689102564102,GM,Echo,global,False
210,9.805689102564102,GM,Echo,global,False
240,9.805689102564102,GM,Echo,global,False
270,9.805689102564102,GM,Echo,global,False
300,9.805689102564102,GM,Echo,global,False
330,9.805689102564102,GM,Echo,global,False
360,9.805689102564102,GM,Echo,global,False
390,9.805689102564102,GM,Echo,global,False
420,9.805689102564102,GM,Echo,global,False
450,9.805689102564102,GM,Echo,global,False
480,9.805689102564102,GM,Echo,global,False
510,9.805689102564102,GM,Echo,global,False
540,9.805689102564102,GM,Echo,global,False
570,9.805689102564102,GM,Echo,global,False
600,9.805689102564102,GM,Echo,global,False
630,9.805689102564102,GM,Echo,global,False
660,9.805689102564102,GM,Echo,global,False
690,9.805689102564102,GM,Echo,global,False
720,9.805689102564102,GM,Echo,global,False
750,9.805689102564102,GM,Echo,global,False
780,9.805689102564102,GM,Echo,global,False
810,9.805689102564102,GM,Echo,global,False
840,9.805689102564102,GM,Echo,global,False
870,9.805689102564102,GM,Echo,global,False
0,88.70192307692308,GM,Echo,global,True
30,73.75801282051282,GM,Echo,global,True
60,9.805689102564102,GM,Echo,global,True
90,9.805689102564102,GM,Echo,global,True
120,9.805689102564102,GM,Echo,global,True
150,9.805689102564102,GM,Echo,global,True
180,9.805689102564102,GM,Echo,global,True
210,9.805689102564102,GM,Echo,global,True
240,9.805689102564102,GM,Echo,global,True
270,9.805689102564102,GM,Echo,global,True
300,9.805689102564102,GM,Echo,global,True
330,9.805689102564102,GM,Echo,global,True
360,9.805689102564102,GM,Echo,global,True
390,9.805689102564102,GM,Echo,global,True
420,9.805689102564102,GM,Echo,global,True
450,9.805689102564102,GM,Echo,global,True
480,9.805689102564102,GM,Echo,global,True
510,9.805689102564102,GM,Echo,global,True
540,9.805689102564102,GM,Echo,global,True
570,9.805689102564102,GM,Echo,global,True
600,9.805689102564102,GM,Echo,global,True
630,9.805689102564102,GM,Echo,global,True
660,9.805689102564102,GM,Echo,global,True
690,9.805689102564102,GM,Echo,global,True
720,9.805689102564102,GM,Echo,global,True
750,9.805689102564102,GM,Echo,global,True
780,9.805689102564102,GM,Echo,global,True
810,9.805689102564102,GM,Echo,global,True
840,9.805689102564102,GM,Echo,global,True
870,9.805689102564102,GM,Echo,global,True
0,11.348157051282051,GM,StateOverride,global,False
30,11.348157051282051,GM,StateOverride,global,False
60,11.348157051282051,GM,StateOverride,global,False
90,11.348157051282051,GM,StateOverride,global,False
120,11.348157051282051,GM,StateOverride,global,False
150,11.348157051282051,GM,StateOverride,global,False
180,11.348157051282051,GM,StateOverride,global,False
210,11.348157051282051,GM,StateOverride,global,False
240,11.348157051282051,GM,StateOverride,global,False
270,11.348157051282051,GM,StateOverride,global,False
300,11.348157051282051,GM,StateOverride,global,False
330,11.348157051282051,GM,StateOverride,global,False
360,11.348157051282051,GM,StateOverride,global,False
390,11.348157051282051,GM,StateOverride,global,False
420,11.348157051282051,GM,StateOverride,global,False
450,11.348157051282051,GM,StateOverride,global,False
480,11.348157051282051,GM,StateOverride,global,False
510,11.348157051282051,GM,StateOverride,global,False
540,11.348157051282051,GM,StateOverride,global,False
570,11.348157051282051,GM,StateOverride,global,False
600,11.348157051282051,GM,StateOverride,global,False
630,11.348157051282051,GM,StateOverride,global,False
660,11.348157051282051,GM,StateOverride,global,False
690,11.348157051282051,GM,StateOverride,global,False
720,11.348157051282051,GM,StateOverride,global,False
750,11.348157051282051,GM,StateOverride,global,False
780,11.348157051282051,GM,StateOverride,global,False
810,11.348157051282051,GM,StateOverride,global,False
840,11.348157051282051,GM,StateOverride,global,False
870,11.348157051282051,GM,StateOverride,global,False
0,11.348157051282051,GM,StateOverride,global,True
30,11.348157051282051,GM,StateOverride,global,True
60,11.348157051282051,GM,StateOverride,global,True
90,11.348157051282051,GM,StateOverride,global,True
120,11.348157051282051,GM,StateOverride,global,True
150,11.348157051282051,GM,StateOverride,global,True
180,11.348157051282051,GM,StateOverride,global,True
210,11.348157051282051,GM,StateOverride,global,True
240,11.348157051282051,GM,StateOverride,global,True
270,11.348157051282051,GM,StateOverride,global,True
300,11.348157051282051,GM,StateOverride,global,True
330,11.348157051282051,GM,StateOverride,global,True
360,11.348157051282051,GM,StateOverride,global,True
390,11.348157051282051,GM,StateOverride,global,True
420,11.348157051282051,GM,StateOverride,global,True
450,11.348157051282051,GM,StateOverride,global,True
480,11.348157051282051,GM,StateOverride,global,True
510,11.348157051282051,GM,StateOverride,global,True
540,11.348157051282051,GM,StateOverride,global,True
570,11.348157051282051,GM,StateOverride,global,True
600,11.348157051282051,GM,StateOverride,global,True
630,11.348157051282051,GM,StateOverride,global,True
660,11.348157051282051,GM,StateOverride,global,True
690,11.348157051282051,GM,StateOverride,global,True
720,11.348157051282051,GM,StateOverride,global,True
750,11.348157051282051,GM,StateOverride,global,True
780,11.348157051282051,GM,StateOverride,global,True
810,11.348157051282051,GM,StateOverride,global,True
840,11.348157051282051,GM,StateOverride,global,True
870,11.348157051282051,GM,StateOverride,global,True
0,88.25120192307692,MOZI,SandTrap,global,False
30,92.40785256410257,MOZI,SandTrap,global,False
60,93.71995192307692,MOZI,SandTrap,global,False
90,93.65985576923077,MOZI,SandTrap,global,False
120,94.11057692307692,MOZI,SandTrap,global,False
150,94.66145833333333,MOZI,SandTrap,global,False
180,94.97195512820512,MOZI,SandTrap,global,False
210,94.85176282051282,MOZI,SandTrap,global,False
240,94.86177884615384,MOZI,SandTrap,global,False
270,95.0420673076923,MOZI,SandTrap,global,False
300,95.12219551282051,MOZI,SandTrap,global,False
330,95.1923076923077,MOZI,SandTrap,global,False
360,95.17227564102564,MOZI,SandTrap,global,False
390,95.21233974358974,MOZI,SandTrap,global,False
420,95.29246794871794,MOZI,SandTrap,global,False
450,95.4326923076923,MOZI,SandTrap,global,False
480,95.42267628205128,MOZI,SandTrap,global,False
510,95.38261217948718,MOZI,SandTrap,global,False
540,95.47275641025641,MOZI,SandTrap,global,False
570,95.51282051282051,MOZI,SandTrap,global,False
600,95.49278846153847,MOZI,SandTrap,global,False
630,95.51282051282051,MOZI,SandTrap,global,False
660,95.56290064102564,MOZI,SandTrap,global,False
690,95.60296474358974,MOZI,SandTrap,global,False
720,95.56290064102564,MOZI,SandTrap,global,False
750,95.59294871794872,MOZI,SandTrap,global,False
780,95.65304487179488,MOZI,SandTrap,global,False
810,95.65304487179488,MOZI,SandTrap,global,False
840,95.61298076923077,MOZI,SandTrap,global,False
870,95.75320512820512,MOZI,SandTrap,global,False
0,86.95913461538461,MOZI,SandTrap,global,True
30,91.76682692307692,MOZI,SandTrap,global,True
60,92.80849358974359,MOZI,SandTrap,global,True
90,93.81009615384616,MOZI,SandTrap,global,True
120,93.86017628205128,MOZI,SandTrap,global,True
150,93.88020833333333,MOZI,SandTrap,global,True
180,94.21073717948718,MOZI,SandTrap,global,True
210,94.28084935897436,MOZI,SandTrap,global,True
